minutes,step,loss,rank,value,agree,own,train_win,test_loss,test_rank,test_value,test_agree,random,greedy,minimax2
38.6,10,,1.7661,0.0941,0.75,0.1237,0.4062,1.8171,1.7383,0.0788,0.755,0.94,0.92,0.04
77.5,20,,1.6789,0.0963,0.7812,0.126,0.4219,1.8096,1.7221,0.0875,0.785,0.94,0.98,0.04
115.4,30,,1.7497,0.09,0.7656,0.1389,0.4844,1.8314,1.7449,0.0865,0.785,0.96,0.96,0.02
153.7,40,,1.7357,0.0883,0.7594,0.1395,0.4219,1.8244,1.7336,0.0907,0.68,0.98,1.0,0.06
192.4,50,,1.7397,0.1,0.7406,0.152,0.4219,1.8384,1.7431,0.0953,0.8,0.92,0.98,0.02
230.5,60,,1.7357,0.0906,0.7469,0.1357,0.5,1.829,1.7345,0.0944,0.765,0.94,0.92,0.02
268.9,70,,1.7468,0.099,0.7781,0.1161,0.4688,1.8914,1.8113,0.0802,0.705,0.98,0.96,0.04
307.5,80,,1.7413,0.1144,0.7656,0.1404,0.0156,1.9103,1.798,0.1124,0.745,0.96,0.96,0.04
346.5,90,,1.7454,0.1038,0.7812,0.1512,0.4688,1.871,1.7771,0.0939,0.735,0.98,0.9,0.02
384.8,100,,1.7494,0.0851,0.775,0.117,0.4844,1.8495,1.7508,0.0988,0.74,0.98,0.92,0.1
