minutes,step,loss,rank,value,agree,own,train_win,test_loss,test_rank,test_value,test_agree,random,greedy,minimax2
3.1,0,,,,,,,2.1815,1.8664,0.3151,0.68,0.48,0.58,0.0
54.4,1000,2.012,1.7754,0.2366,0.6779,,,1.989,1.7795,0.2095,0.69,0.62,0.66,0.0
106.5,2000,1.9442,1.7766,0.1676,0.6956,,,1.9489,1.7933,0.1556,0.705,0.82,0.74,0.0
158.3,3000,1.9027,1.7602,0.1425,0.7034,,,1.8962,1.7723,0.1239,0.665,0.8,0.8,0.0
210.6,4000,1.8941,1.7667,0.1275,0.7074,,,1.9229,1.7849,0.138,0.72,0.76,0.72,0.0
263.6,5000,1.8808,1.7625,0.1183,0.7044,,,1.9106,1.7555,0.1551,0.71,0.86,0.9,0.02
316.5,6000,1.873,1.7581,0.1149,0.7224,,,1.8992,1.8054,0.0938,0.68,0.88,0.84,0.04
369.5,7000,1.8604,1.7546,0.1058,0.7346,,,1.8595,1.7537,0.1058,0.7,0.76,0.86,0.02
422.4,8000,1.8499,1.7531,0.0967,0.7361,,,1.796,1.6961,0.0999,0.71,0.96,0.82,0.0
475.9,9000,1.8468,1.754,0.0928,0.74,,,1.8893,1.8094,0.0799,0.72,0.9,0.9,0.0
529.1,10000,1.8366,1.7455,0.0912,0.7372,,,1.8174,1.7446,0.0728,0.775,0.96,0.96,0.0
582.8,11000,1.8375,1.7478,0.0897,0.7473,,,1.8197,1.7287,0.0909,0.765,0.92,0.9,0.06
636.6,12000,1.8289,1.7435,0.0854,0.7476,,,1.8462,1.7573,0.0889,0.785,0.92,0.92,0.02
690.5,13000,1.84,1.7509,0.0892,0.7476,,,1.8867,1.8111,0.0756,0.72,0.98,0.96,0.04
744.0,14000,1.8247,1.7369,0.0878,0.7539,,,1.8466,1.7489,0.0978,0.755,0.9,0.88,0.0
798.0,15000,1.8285,1.7436,0.0848,0.7568,,,1.794,1.7221,0.0719,0.72,1.0,0.88,0.02
852.5,16000,1.8389,1.7534,0.0856,0.7551,,,1.7891,1.715,0.0741,0.755,0.92,0.88,0.0
907.6,17000,1.824,1.7369,0.0872,0.7597,,,1.86,1.7864,0.0735,0.805,0.86,0.92,0.04
961.7,18000,1.825,1.7385,0.0865,0.7589,,,1.8169,1.7443,0.0726,0.75,1.0,0.92,0.04
1016.1,19000,1.8244,1.7389,0.0855,0.7567,,,1.8536,1.7632,0.0904,0.755,0.94,0.92,0.04
1070.0,20000,1.8169,1.7346,0.0822,0.7638,,,1.8264,1.7424,0.084,0.77,0.96,0.92,0.08
